Name n time comparisons vec_access
binarytree 1         0.000008 0 2
binarytree 2         0.000009 1 4
binarytree 3         0.000010 2 6
binarytree 4         0.000010 4 8
binarytree 5         0.000012 7 10
binarytree 6         0.000012 10 12
binarytree 7         0.000013 13 14
binarytree 8         0.000015 17 16
binarytree 9         0.000015 20 18
binarytree 10        0.000015 24 20
binarytree 11        0.000017 28 22
binarytree 12        0.000018 32 24
binarytree 13        0.000019 36 26
binarytree 14        0.000020 42 28
binarytree 15        0.000021 45 30
binarytree 16        0.000020 50 32
binarytree 17        0.000023 55 34
binarytree 18        0.000024 59 36
binarytree 19        0.000024 66 38
binarytree 20        0.000024 69 40
binarytree 21        0.000026 76 42
binarytree 22        0.000027 83 44
binarytree 23        0.000026 87 46
binarytree 24        0.000028 93 48
binarytree 25        0.000029 97 50
binarytree 26        0.000029 103 52
binarytree 27        0.000030 110 54
binarytree 28        0.000031 118 56
binarytree 29        0.000032 121 58
binarytree 30        0.000034 130 60
binarytree 31        0.000034 134 62
binarytree 32        0.000035 138 64
binarytree 33        0.000037 147 66
binarytree 34        0.000036 153 68
binarytree 35        0.000037 159 70
binarytree 36        0.000038 167 72
binarytree 37        0.000040 173 74
binarytree 38        0.000038 180 76
binarytree 39        0.000040 182 78
binarytree 40        0.000042 187 80
binarytree 41        0.000043 195 82
binarytree 42        0.000044 206 84
binarytree 43        0.000044 210 86
binarytree 44        0.000046 215 88
binarytree 45        0.000047 223 90
binarytree 46        0.000047 227 92
binarytree 47        0.000048 241 94
binarytree 48        0.000049 245 96
binarytree 49        0.000051 252 98
binarytree 50        0.000050 257 100
binarytree 51        0.000053 267 102
binarytree 52        0.000052 274 104
binarytree 53        0.000053 280 106
binarytree 54        0.000055 285 108
binarytree 55        0.000055 294 110
binarytree 56        0.000056 298 112
binarytree 57        0.000057 308 114
binarytree 58        0.000058 313 116
binarytree 59        0.000060 323 118
binarytree 60        0.000057 333 120
binarytree 61        0.000061 336 122
binarytree 62        0.000063 343 124
binarytree 63        0.000063 350 126
binarytree 64        0.000065 359 128
binarytree 65        0.000065 367 130
binarytree 66        0.000065 371 132
binarytree 67        0.000067 384 134
binarytree 68        0.000067 388 136
binarytree 69        0.000068 400 138
binarytree 70        0.000069 399 140
binarytree 71        0.000069 414 142
binarytree 72        0.000071 417 144
binarytree 73        0.000072 423 146
binarytree 74        0.000073 434 148
binarytree 75        0.000074 445 150
binarytree 76        0.000076 452 152
binarytree 77        0.000076 460 154
binarytree 78        0.000077 461 156
binarytree 79        0.000077 479 158
binarytree 80        0.000079 483 160
