Name n time comparisons vec_access
badsort              0.000000 0 0
binarytree           0.002723 159757 20000
bubble               0.913551 49941403 150089404
cocktail             0.799733 33396029 117006526
comb                 0.003896 326734 779614
cycle                1.148375 199860461 199891391
heap                 0.004215 516952 765428
insertion            0.689859 9999 50226596
merge                0.010174 44029 258554
quick                0.002744 159826 349150
selection            0.255948 50005000 100029978
